2.852000000	New Point
3.122666667	New Point
3.170666667	New Point
3.472000000	New Point
3.522666667	New Point
3.837333333	New Point
3.898666667	New Point
4.160000000	New Point
4.211250000	New Point
4.563750000	New Point
4.614375000	New Point
4.878750000	New Point
4.940625000	New Point
5.217333333	New Point
5.304000000	New Point
5.598666667	New Point
5.664000000	New Point
5.948000000	New Point
6.018666667	New Point
6.281333333	New Point
6.360000000	New Point
6.639375000	New Point
6.763125000	New Point
7.055625000	New Point
7.113750000	New Point
7.419375000	New Point
7.483125000	New Point
7.713750000	New Point
7.801875000	New Point
8.073750000	New Point
8.111250000	New Point
8.390625000	New Point
8.463750000	New Point
8.776875000	New Point
8.853750000	New Point
9.120000000	New Point
9.191250000	New Point
9.453750000	New Point
9.543750000	New Point
10.248750000	New Point
